+--------+-----------+----------+------------------+--------------+-------------------------------+----------------+-------------------------------+--------------+
|   Best |     Epoch |   Trades |    Win Draw Loss |   Avg profit |                        Profit |   Avg duration |                  Max Drawdown |    Objective |
|        |  557/2000 |      189 |    121    0   68 |        1.68% |      6338.847 USDT  (158.47%) |        5:02:00 |       817.839 USDT   (40.85%) | -6,338.84726 |
|        |  558/2000 |      149 |     99    0   50 |        1.89% |      5645.707 USDT  (141.14%) |        4:55:00 |       815.271 USDT   (40.72%) | -5,645.70682 |
|        |  559/2000 |      221 |    130    0   91 |        1.19% |      5255.139 USDT  (131.38%) |        4:11:00 |       806.637 USDT   (40.29%) | -5,255.13850 |
|        |  560/2000 |      235 |    140    0   95 |        1.28% |      6012.757 USDT  (150.32%) |        4:14:00 |       969.322 USDT   (48.42%) | -6,012.75692 |
|        |  561/2000 |      283 |    166    0  117 |        1.16% |      6568.537 USDT  (164.21%) |        4:12:00 |       888.599 USDT   (44.39%) | -6,568.53729 |
|        |  562/2000 |      243 |    146    0   97 |        1.32% |      6438.776 USDT  (160.97%) |        4:28:00 |       918.736 USDT   (45.89%) | -6,438.77579 |
|        |  563/2000 |      242 |    147    0   95 |        1.15% |      5575.326 USDT  (139.38%) |        3:59:00 |      1004.214 USDT   (50.16%) | -5,575.32630 |
|        |  564/2000 |      124 |     86    0   38 |        1.92% |      4764.360 USDT  (119.11%) |        4:36:00 |       580.726 USDT   (29.01%) | -4,764.36043 |
|        |  565/2000 |      273 |    156    0  117 |        0.98% |      5356.723 USDT  (133.92%) |        4:03:00 |      1115.684 USDT   (55.73%) | -5,356.72259 |
|        |  566/2000 |      182 |    108    0   74 |        1.18% |      4302.870 USDT  (107.57%) |        5:31:00 |       884.360 USDT   (44.17%) | -4,302.86993 |
|        |  567/2000 |      262 |    155    0  107 |        1.11% |      5808.625 USDT  (145.22%) |        4:10:00 |      1233.306 USDT   (61.60%) | -5,808.62534 |
|        |  568/2000 |      272 |    160    0  112 |        1.14% |      6213.245 USDT  (155.33%) |        4:11:00 |       920.933 USDT   (46.00%) | -6,213.24500 |
|        |  569/2000 |      168 |    107    0   61 |        1.65% |      5535.885 USDT  (138.40%) |        4:59:00 |       824.218 USDT   (41.17%) | -5,535.88541 |
|        |  570/2000 |      246 |    147    0   99 |        1.03% |      5078.089 USDT  (126.95%) |        4:56:00 |       920.716 USDT   (45.99%) | -5,078.08858 |
|        |  571/2000 |      149 |    103    0   46 |        2.03% |      6061.394 USDT  (151.53%) |        5:10:00 |       413.843 USDT   (20.67%) | -6,061.39422 |
|        |  572/2000 |      172 |    112    0   60 |        1.63% |      5600.937 USDT  (140.02%) |        4:35:00 |       800.893 USDT   (40.00%) | -5,600.93730 |
|        |  573/2000 |      146 |     96    0   50 |        1.61% |      4695.556 USDT  (117.39%) |        4:48:00 |       961.516 USDT   (48.03%) | -4,695.55562 |
|        |  574/2000 |      177 |    113    0   64 |        1.42% |      5048.960 USDT  (126.22%) |        4:44:00 |      1176.653 USDT   (58.77%) | -5,048.95963 |
|        |  575/2000 |      203 |    123    0   80 |        1.10% |      4474.426 USDT  (111.86%) |        4:09:00 |       829.201 USDT   (41.42%) | -4,474.42640 |
|        |  576/2000 |      264 |    158    0  106 |        1.13% |      5982.522 USDT  (149.56%) |        4:01:00 |       907.883 USDT   (45.35%) | -5,982.52211 |
|        |  577/2000 |      197 |    119    0   78 |        1.21% |      4772.010 USDT  (119.30%) |        4:09:00 |       944.474 USDT   (47.18%) | -4,772.01036 |
|        |  578/2000 |      208 |    132    0   76 |        1.58% |      6576.203 USDT  (164.41%) |        4:43:00 |       782.359 USDT   (39.08%) | -6,576.20283 |
|        |  579/2000 |      142 |     93    0   49 |        1.66% |      4727.594 USDT  (118.19%) |        4:57:00 |       815.271 USDT   (40.72%) | -4,727.59439 |
|        |  580/2000 |      266 |    160    0  106 |        1.18% |      6261.169 USDT  (156.53%) |        4:04:00 |       840.903 USDT   (42.00%) | -6,261.16902 |
|        |  581/2000 |      180 |    112    0   68 |        1.63% |      5858.257 USDT  (146.46%) |        5:12:00 |       785.156 USDT   (39.22%) | -5,858.25696 |
|        |  582/2000 |      317 |    181    0  136 |        0.87% |      5546.002 USDT  (138.65%) |        3:45:00 |      1033.761 USDT   (51.64%) | -5,546.00246 |
|        |  583/2000 |      282 |    168    0  114 |        1.19% |      6742.163 USDT  (168.55%) |        4:10:00 |       855.911 USDT   (42.75%) | -6,742.16313 |
|        |  584/2000 |      235 |    139    0   96 |        1.21% |      5683.165 USDT  (142.08%) |        4:11:00 |      1007.940 USDT   (50.35%) | -5,683.16502 |
|        |  585/2000 |      255 |    159    0   96 |        1.02% |      5220.369 USDT  (130.51%) |        3:49:00 |      1072.000 USDT   (53.55%) | -5,220.36891 |
|        |  586/2000 |      338 |    204    0  134 |        0.49% |      3328.516 USDT   (83.21%) |        5:12:00 |      1549.778 USDT   (77.41%) | -3,328.51592 |
|        |  587/2000 |      270 |    167    0  103 |        0.79% |      4247.717 USDT  (106.19%) |        4:58:00 |       961.143 USDT   (48.01%) | -4,247.71704 |
|        |  588/2000 |      265 |    116    0  149 |       -0.37% |     -1985.599 USDT  (-49.64%) |        8:02:00 |      2246.544 USDT  (112.21%) |  1,985.59869 |
|        |  589/2000 |      182 |    110    0   72 |        1.07% |      3880.606 USDT   (97.02%) |        4:27:00 |       949.829 USDT   (47.44%) | -3,880.60550 |
|        |  590/2000 |      188 |    123    0   65 |        1.45% |      5459.327 USDT  (136.48%) |        4:11:00 |       800.893 USDT   (40.00%) | -5,459.32748 |
|        |  591/2000 |      218 |    130    0   88 |        1.25% |      5461.956 USDT  (136.55%) |        4:26:00 |       787.855 USDT   (39.35%) | -5,461.95631 |
|        |  592/2000 |      324 |    180    0  144 |        0.78% |      5046.610 USDT  (126.17%) |        4:02:00 |       926.284 USDT   (46.27%) | -5,046.60957 |
|        |  593/2000 |      218 |    142    0   76 |        1.53% |      6679.352 USDT  (166.98%) |        4:24:00 |       831.476 USDT   (41.53%) | -6,679.35245 |
|        |  594/2000 |      252 |    156    0   96 |        1.20% |      6033.912 USDT  (150.85%) |        3:55:00 |       820.835 USDT   (41.00%) | -6,033.91190 |
|        |  595/2000 |      231 |    143    0   88 |        1.40% |      6491.570 USDT  (162.29%) |        4:37:00 |       803.542 USDT   (40.14%) | -6,491.57001 |
|        |  596/2000 |      208 |    128    0   80 |        1.30% |      5399.652 USDT  (134.99%) |        4:17:00 |      1033.750 USDT   (51.64%) | -5,399.65153 |
|        |  597/2000 |      193 |    122    0   71 |        1.50% |      5786.288 USDT  (144.66%) |        4:21:00 |       973.619 USDT   (48.63%) | -5,786.28785 |
|        |  598/2000 |      248 |    149    0   99 |        1.19% |      5904.421 USDT  (147.61%) |        4:11:00 |       949.908 USDT   (47.45%) | -5,904.42069 |
|        |  599/2000 |      259 |    154    0  105 |        1.05% |      5460.660 USDT  (136.52%) |        3:58:00 |      1106.869 USDT   (55.29%) | -5,460.65971 |
|        |  600/2000 |      270 |    163    0  107 |        1.27% |      6841.144 USDT  (171.03%) |        4:16:00 |       928.144 USDT   (46.36%) | -6,841.14398 |
|        |  601/2000 |      214 |    140    0   74 |        1.47% |      6286.537 USDT  (157.16%) |        4:10:00 |       912.953 USDT   (45.60%) | -6,286.53707 |
|        |  602/2000 |      194 |    121    0   73 |        1.19% |      4617.260 USDT  (115.43%) |        5:18:00 |       727.950 USDT   (36.36%) | -4,617.25999 |
|        |  603/2000 |      196 |    128    0   68 |        1.51% |      5922.660 USDT  (148.07%) |        4:15:00 |       795.339 USDT   (39.73%) | -5,922.65968 |
|        |  604/2000 |      141 |     93    0   48 |        1.69% |      4772.024 USDT  (119.30%) |        4:59:00 |       847.886 USDT   (42.35%) | -4,772.02397 |
|        |  605/2000 |      245 |    148    0   97 |        1.11% |      5440.999 USDT  (136.02%) |        4:02:00 |      1149.072 USDT   (57.40%) | -5,440.99853 |
|        |  606/2000 |      259 |    148    0  111 |        1.17% |      6076.359 USDT  (151.91%) |        4:27:00 |      1268.675 USDT   (63.37%) | -6,076.35907 |
|        |  607/2000 |      293 |    166    0  127 |        0.99% |      5808.324 USDT  (145.21%) |        4:03:00 |       944.547 USDT   (47.18%) | -5,808.32374 |
|        |  608/2000 |      285 |    158    0  127 |        0.71% |      4030.165 USDT  (100.75%) |        4:19:00 |      1502.690 USDT   (75.06%) | -4,030.16502 |
|        |  609/2000 |      230 |    137    0   93 |        0.88% |      4072.311 USDT  (101.81%) |        3:46:00 |      1119.015 USDT   (55.89%) | -4,072.31132 |
|        |  610/2000 |      301 |    177    0  124 |        1.03% |      6225.837 USDT  (155.65%) |        3:50:00 |      1040.129 USDT   (51.95%) | -6,225.83744 |
|        |  611/2000 |      218 |    129    0   89 |        1.25% |      5452.328 USDT  (136.31%) |        4:22:00 |      1103.537 USDT   (55.12%) | -5,452.32826 |
|        |  612/2000 |      195 |    120    0   75 |        1.39% |      5438.000 USDT  (135.95%) |        4:18:00 |       937.592 USDT   (46.83%) | -5,438.00030 |
|        |  613/2000 |      222 |    137    0   85 |        1.31% |      5819.627 USDT  (145.49%) |        4:42:00 |       892.273 USDT   (44.57%) | -5,819.62727 |
|        |  614/2000 |      177 |    112    0   65 |        1.59% |      5624.997 USDT  (140.62%) |        5:13:00 |       790.344 USDT   (39.48%) | -5,624.99715 |
|        |  615/2000 |      276 |    158    0  118 |        1.01% |      5559.389 USDT  (138.98%) |        4:12:00 |      1013.297 USDT   (50.61%) | -5,559.38889 |
|        |  616/2000 |      210 |    125    0   85 |        1.44% |      6070.729 USDT  (151.77%) |        4:00:00 |       764.073 USDT   (38.17%) | -6,070.72919 |
|        |  617/2000 |      216 |    129    0   87 |        1.17% |      5056.590 USDT  (126.41%) |        4:55:00 |       786.737 USDT   (39.30%) | -5,056.59009 |
|        |  618/2000 |      155 |    104    0   51 |        1.76% |      5457.973 USDT  (136.45%) |        4:55:00 |       808.604 USDT   (40.39%) | -5,457.97324 |
|        |  619/2000 |      185 |    117    0   68 |        1.24% |      4590.724 USDT  (114.77%) |        3:54:00 |       827.930 USDT   (41.36%) | -4,590.72358 |
|        |  620/2000 |      217 |    132    0   85 |        1.26% |      5465.778 USDT  (136.64%) |        3:56:00 |       824.995 USDT   (41.21%) | -5,465.77754 |
|        |  621/2000 |      196 |    118    0   78 |        1.26% |      4941.828 USDT  (123.55%) |        3:47:00 |       775.321 USDT   (38.73%) | -4,941.82763 |
|        |  622/2000 |      289 |    166    0  123 |        0.88% |      5088.817 USDT  (127.22%) |        3:41:00 |       806.053 USDT   (40.26%) | -5,088.81733 |
|        |  623/2000 |      270 |    160    0  110 |        1.11% |      5989.691 USDT  (149.74%) |        4:00:00 |       862.233 USDT   (43.07%) | -5,989.69141 |
|        |  624/2000 |      234 |    141    0   93 |        1.12% |      5269.904 USDT  (131.75%) |        4:12:00 |       786.937 USDT   (39.31%) | -5,269.90444 |
|        |  625/2000 |      246 |    147    0   99 |        1.09% |      5353.359 USDT  (133.83%) |        3:55:00 |       937.009 USDT   (46.80%) | -5,353.35913 |
|        |  626/2000 |      161 |    100    0   61 |        1.68% |      5405.203 USDT  (135.13%) |        5:16:00 |       974.223 USDT   (48.66%) | -5,405.20263 |
|        |  627/2000 |      150 |     99    0   51 |        1.75% |      5254.426 USDT  (131.36%) |        4:26:00 |       903.112 USDT   (45.11%) | -5,254.42600 |
|        |  628/2000 |      172 |    109    0   63 |        1.66% |      5699.197 USDT  (142.48%) |        4:55:00 |       824.218 USDT   (41.17%) | -5,699.19706 |
|        |  629/2000 |      265 |    159    0  106 |        1.13% |      6014.817 USDT  (150.37%) |        4:04:00 |       900.699 USDT   (44.99%) | -6,014.81675 |
|        |  630/2000 |      246 |    151    0   95 |        1.26% |      6198.665 USDT  (154.97%) |        4:20:00 |      1021.064 USDT   (51.00%) | -6,198.66455 |
|        |  631/2000 |      180 |    109    0   71 |        1.54% |      5539.880 USDT  (138.50%) |        5:19:00 |       855.795 USDT   (42.75%) | -5,539.87956 |
|        |  632/2000 |      261 |    154    0  107 |        1.06% |      5547.386 USDT  (138.68%) |        4:00:00 |       740.236 USDT   (36.97%) | -5,547.38568 |
|        |  633/2000 |      324 |    182    0  142 |        0.90% |      5863.796 USDT  (146.59%) |        3:52:00 |       894.529 USDT   (44.68%) | -5,863.79603 |
|        |  634/2000 |      347 |    202    0  145 |        0.53% |      3668.321 USDT   (91.71%) |        3:25:00 |       971.644 USDT   (48.53%) | -3,668.32098 |
|        |  635/2000 |      219 |    127    0   92 |        1.21% |      5314.179 USDT  (132.85%) |        4:27:00 |       787.557 USDT   (39.34%) | -5,314.17913 |
|        |  636/2000 |      240 |    152    0   88 |        0.92% |      4399.996 USDT  (110.00%) |        3:48:00 |       898.957 USDT   (44.90%) | -4,399.99613 |
|        |  637/2000 |      218 |    131    0   87 |        1.40% |      6111.617 USDT  (152.79%) |        4:22:00 |       843.146 USDT   (42.12%) | -6,111.61739 |
|        |  638/2000 |      136 |     84    0   52 |        1.31% |      3559.987 USDT   (89.00%) |        4:44:00 |      1579.198 USDT   (78.88%) | -3,559.98679 |
|        |  639/2000 |      192 |    120    0   72 |        1.19% |      4558.362 USDT  (113.96%) |        3:56:00 |       928.286 USDT   (46.37%) | -4,558.36158 |
|        |  640/2000 |      217 |    135    0   82 |        1.41% |      6127.472 USDT  (153.19%) |        4:13:00 |       772.914 USDT   (38.61%) | -6,127.47238 |
|        |  641/2000 |      174 |    105    0   69 |        1.03% |      3587.310 USDT   (89.68%) |        3:53:00 |       780.744 USDT   (39.00%) | -3,587.30951 |
|        |  642/2000 |      212 |    135    0   77 |        1.31% |      5551.366 USDT  (138.78%) |        3:58:00 |      1108.029 USDT   (55.35%) | -5,551.36621 |
|        |  643/2000 |      165 |    108    0   57 |        1.58% |      5230.849 USDT  (130.77%) |        4:36:00 |       872.877 USDT   (43.60%) | -5,230.84901 |
|        |  644/2000 |      140 |     86    0   54 |        1.68% |      4713.817 USDT  (117.85%) |        5:01:00 |       802.526 USDT   (40.09%) | -4,713.81650 |
|        |  645/2000 |      221 |    138    0   83 |        1.34% |      5943.722 USDT  (148.59%) |        4:12:00 |      1176.653 USDT   (58.77%) | -5,943.72248 |
|        |  646/2000 |      177 |    111    0   66 |        1.31% |      4624.759 USDT  (115.62%) |        5:11:00 |       699.352 USDT   (34.93%) | -4,624.75917 |
|        |  647/2000 |      152 |     99    0   53 |        1.82% |      5548.676 USDT  (138.72%) |        5:10:00 |       815.271 USDT   (40.72%) | -5,548.67629 |
|        |  648/2000 |      194 |    116    0   78 |        1.36% |      5286.681 USDT  (132.17%) |        4:54:00 |       823.610 USDT   (41.14%) | -5,286.68070 |
|        |  649/2000 |      113 |     84    0   29 |        2.51% |      5671.008 USDT  (141.78%) |        5:14:00 |       413.843 USDT   (20.67%) | -5,671.00754 |
|        |  650/2000 |      226 |    136    0   90 |        1.29% |      5830.898 USDT  (145.77%) |        4:25:00 |      1007.940 USDT   (50.35%) | -5,830.89842 |
|        |  651/2000 |      261 |    151    0  110 |        0.89% |      4639.022 USDT  (115.98%) |        3:44:00 |      1091.947 USDT   (54.54%) | -4,639.02160 |
|        |  652/2000 |      248 |    147    0  101 |        1.14% |      5683.318 USDT  (142.08%) |        4:36:00 |      1093.304 USDT   (54.61%) | -5,683.31786 |
|        |  653/2000 |      198 |    119    0   79 |        1.35% |      5338.613 USDT  (133.47%) |        4:14:00 |       832.451 USDT   (41.58%) | -5,338.61290 |
|        |  654/2000 |      263 |    152    0  111 |        0.83% |      4349.220 USDT  (108.73%) |        3:44:00 |      1058.645 USDT   (52.88%) | -4,349.22050 |
|        |  655/2000 |      164 |    103    0   61 |        1.48% |      4847.861 USDT  (121.20%) |        4:55:00 |      1107.238 USDT   (55.31%) | -4,847.86106 |
|        |  656/2000 |      200 |    132    0   68 |        1.17% |      4695.839 USDT  (117.40%) |        3:57:00 |       725.206 USDT   (36.22%) | -4,695.83907 |
|        |  657/2000 |      253 |    148    0  105 |        1.14% |      5768.508 USDT  (144.21%) |        4:13:00 |       912.223 USDT   (45.57%) | -5,768.50839 |
|        |  658/2000 |      280 |    157    0  123 |        0.89% |      4988.645 USDT  (124.72%) |        3:52:00 |       786.937 USDT   (39.31%) | -4,988.64523 |
|        |  659/2000 |      221 |    126    0   95 |        1.13% |      5010.581 USDT  (125.26%) |        4:22:00 |      1122.041 USDT   (56.05%) | -5,010.58117 |
|        |  660/2000 |      201 |    125    0   76 |        1.50% |      6051.930 USDT  (151.30%) |        4:34:00 |      1007.940 USDT   (50.35%) | -6,051.93030 |
|        |  661/2000 |      219 |    133    0   86 |        1.38% |      6052.510 USDT  (151.31%) |        4:26:00 |      1007.940 USDT   (50.35%) | -6,052.51044 |
|        |  662/2000 |      232 |    139    0   93 |        0.94% |      4388.090 USDT  (109.70%) |        3:53:00 |      1144.033 USDT   (57.14%) | -4,388.09002 |
|        |  663/2000 |      154 |    103    0   51 |        1.76% |      5423.113 USDT  (135.58%) |        4:38:00 |       796.893 USDT   (39.80%) | -5,423.11333 |
|        |  664/2000 |      226 |    132    0   94 |        1.23% |      5547.624 USDT  (138.69%) |        4:26:00 |      1007.940 USDT   (50.35%) | -5,547.62428 |
|        |  665/2000 |      180 |    120    0   60 |        1.95% |      7031.309 USDT  (175.78%) |        4:46:00 |       580.742 USDT   (29.01%) | -7,031.30948 |
|        |  666/2000 |      218 |    134    0   84 |        1.13% |      4910.382 USDT  (122.76%) |        4:24:00 |       964.155 USDT   (48.16%) | -4,910.38201 |
|        |  667/2000 |      334 |    138    0  196 |       -0.26% |     -1752.750 USDT  (-43.82%) |        8:11:00 |      2715.597 USDT  (135.64%) |  1,752.75013 |
|        |  668/2000 |      289 |    118    0  171 |       -0.36% |     -2054.235 USDT  (-51.36%) |        8:52:00 |      2624.637 USDT  (131.10%) |  2,054.23505 |
|        |  669/2000 |      318 |    143    0  175 |       -0.24% |     -1555.489 USDT  (-38.89%) |        8:03:00 |      1769.339 USDT   (88.38%) |  1,555.48950 |
|        |  670/2000 |      260 |    149    0  111 |        1.03% |      5348.279 USDT  (133.71%) |        4:03:00 |      1008.380 USDT   (50.37%) | -5,348.27942 |
|        |  671/2000 |      286 |    156    0  130 |        0.63% |      3602.846 USDT   (90.07%) |        4:09:00 |      1556.901 USDT   (77.77%) | -3,602.84560 |
|        |  672/2000 |      196 |    120    0   76 |        1.21% |      4764.670 USDT  (119.12%) |        4:19:00 |      1071.046 USDT   (53.50%) | -4,764.67024 |
|        |  673/2000 |      162 |    105    0   57 |        1.86% |      6030.272 USDT  (150.76%) |        5:07:00 |       849.854 USDT   (42.45%) | -6,030.27160 |
|        |  674/2000 |      251 |    148    0  103 |        0.98% |      4924.117 USDT  (123.10%) |        3:49:00 |       919.547 USDT   (45.93%) | -4,924.11735 |
|        |  675/2000 |      272 |    162    0  110 |        1.05% |      5722.430 USDT  (143.06%) |        3:57:00 |      1040.945 USDT   (52.00%) | -5,722.42978 |
|        |  676/2000 |      336 |    188    0  148 |        0.84% |      5648.085 USDT  (141.20%) |        3:40:00 |       864.598 USDT   (43.19%) | -5,648.08507 |
|        |  677/2000 |      188 |    118    0   70 |        1.62% |      6115.913 USDT  (152.90%) |        4:46:00 |       824.218 USDT   (41.17%) | -6,115.91293 |
|        |  678/2000 |      307 |    176    0  131 |        0.88% |      5399.830 USDT  (135.00%) |        3:58:00 |       814.128 USDT   (40.67%) | -5,399.83001 |
|        |  679/2000 |      193 |    116    0   77 |        1.40% |      5415.116 USDT  (135.38%) |        4:00:00 |       761.423 USDT   (38.03%) | -5,415.11620 |
|        |  680/2000 |      172 |    106    0   66 |        1.17% |      4035.413 USDT  (100.89%) |        4:05:00 |       761.356 USDT   (38.03%) | -4,035.41299 |
|        |  681/2000 |      197 |    126    0   71 |        1.44% |      5679.658 USDT  (141.99%) |        4:01:00 |       786.937 USDT   (39.31%) | -5,679.65788 |
|        |  682/2000 |      273 |    161    0  112 |        0.96% |      5241.389 USDT  (131.03%) |        3:42:00 |       854.599 USDT   (42.69%) | -5,241.38881 |
|        |  683/2000 |      184 |    124    0   60 |        1.48% |      5462.807 USDT  (136.57%) |        4:09:00 |       838.160 USDT   (41.87%) | -5,462.80681 |
|        |  684/2000 |      234 |    137    0   97 |        1.18% |      5516.186 USDT  (137.90%) |        4:06:00 |       772.546 USDT   (38.59%) | -5,516.18589 |
|        |  685/2000 |      235 |    141    0   94 |        1.18% |      5534.896 USDT  (138.37%) |        4:17:00 |       949.908 USDT   (47.45%) | -5,534.89641 |
|        |  686/2000 |      206 |    129    0   77 |        1.44% |      5943.193 USDT  (148.58%) |        4:44:00 |       831.476 USDT   (41.53%) | -5,943.19316 |
|        |  687/2000 |      202 |    126    0   76 |        1.16% |      4708.466 USDT  (117.71%) |        4:02:00 |       870.885 USDT   (43.50%) | -4,708.46583 |
|        |  688/2000 |      264 |    150    0  114 |        1.00% |      5285.550 USDT  (132.14%) |        4:17:00 |      1026.915 USDT   (51.29%) | -5,285.55050 |
|        |  689/2000 |      177 |    108    0   69 |        1.43% |      5063.602 USDT  (126.59%) |        4:38:00 |       768.202 USDT   (38.37%) | -5,063.60223 |
|        |  690/2000 |      333 |    148    0  185 |       -0.21% |     -1392.582 USDT  (-34.81%) |        7:46:00 |      2297.802 USDT  (114.78%) |  1,392.58172 |
|        |  691/2000 |      236 |    146    0   90 |        1.18% |      5573.862 USDT  (139.35%) |        4:07:00 |       854.915 USDT   (42.70%) | -5,573.86209 |
|        |  692/2000 |      169 |    106    0   63 |        1.41% |      4780.019 USDT  (119.50%) |        4:24:00 |       766.371 USDT   (38.28%) | -4,780.01918 |
|        |  693/2000 |      218 |    132    0   86 |        1.04% |      4552.648 USDT  (113.82%) |        4:23:00 |      1169.612 USDT   (58.42%) | -4,552.64799 |
|        |  694/2000 |      268 |    151    0  117 |        1.06% |      5664.946 USDT  (141.62%) |        4:13:00 |       932.856 USDT   (46.60%) | -5,664.94628 |
|        |  695/2000 |      280 |    163    0  117 |        1.11% |      6205.905 USDT  (155.15%) |        4:11:00 |       943.964 USDT   (47.15%) | -6,205.90536 |
|        |  696/2000 |      210 |    131    0   79 |        1.42% |      5983.349 USDT  (149.58%) |        4:19:00 |       929.057 USDT   (46.41%) | -5,983.34889 |
|        |  697/2000 |      230 |    135    0   95 |        1.22% |      5630.134 USDT  (140.75%) |        4:33:00 |      1013.880 USDT   (50.64%) | -5,630.13429 |
|        |  698/2000 |      354 |    193    0  161 |        0.79% |      5622.326 USDT  (140.56%) |        3:41:00 |       857.266 USDT   (42.82%) | -5,622.32577 |
|        |  699/2000 |      241 |    140    0  101 |        1.20% |      5793.112 USDT  (144.83%) |        4:34:00 |       929.767 USDT   (46.44%) | -5,793.11202 |
|        |  700/2000 |      195 |    116    0   79 |        1.41% |      5513.927 USDT  (137.85%) |        5:12:00 |       829.799 USDT   (41.45%) | -5,513.92656 |
|        |  701/2000 |      226 |    136    0   90 |        0.98% |      4437.807 USDT  (110.95%) |        3:37:00 |       786.595 USDT   (39.29%) | -4,437.80722 |
|        |  702/2000 |      400 |    240    0  160 |        0.55% |      4418.246 USDT  (110.46%) |        4:46:00 |      1372.045 USDT   (68.53%) | -4,418.24599 |
|        |  703/2000 |      296 |    171    0  125 |        0.78% |      4642.100 USDT  (116.05%) |        4:30:00 |      1017.634 USDT   (50.83%) | -4,642.09969 |
|        |  704/2000 |      152 |     98    0   54 |        1.52% |      4634.248 USDT  (115.86%) |        4:55:00 |      1250.627 USDT   (62.47%) | -4,634.24845 |
|        |  705/2000 |      159 |    104    0   55 |        1.44% |      4598.685 USDT  (114.97%) |        4:25:00 |       761.423 USDT   (38.03%) | -4,598.68534 |
|        |  706/2000 |      277 |    159    0  118 |        1.03% |      5704.820 USDT  (142.62%) |        3:59:00 |      1013.880 USDT   (50.64%) | -5,704.82042 |
|        |  707/2000 |      286 |    159    0  127 |        0.76% |      4358.909 USDT  (108.97%) |        3:50:00 |       923.318 USDT   (46.12%) | -4,358.90873 |
|        |  708/2000 |      264 |    154    0  110 |        0.98% |      5186.489 USDT  (129.66%) |        4:00:00 |      1258.504 USDT   (62.86%) | -5,186.48941 |
|        |  709/2000 |      170 |    105    0   65 |        1.49% |      5080.417 USDT  (127.01%) |        4:29:00 |       813.352 USDT   (40.63%) | -5,080.41678 |
|        |  710/2000 |      230 |    125    0  105 |        0.72% |      3319.802 USDT   (83.00%) |        4:34:00 |      1373.005 USDT   (68.58%) | -3,319.80178 |
|        |  711/2000 |      208 |    123    0   85 |        1.16% |      4814.892 USDT  (120.37%) |        4:02:00 |      1157.102 USDT   (57.80%) | -4,814.89198 |
|        |  712/2000 |      203 |    129    0   74 |        1.65% |      6710.696 USDT  (167.77%) |        4:35:00 |       786.937 USDT   (39.31%) | -6,710.69568 |
|        |  713/2000 |      220 |    133    0   87 |        1.24% |      5454.508 USDT  (136.36%) |        4:51:00 |       913.712 USDT   (45.64%) | -5,454.50833 |
|        |  714/2000 |      210 |    128    0   82 |        1.38% |      5795.569 USDT  (144.89%) |        4:04:00 |       937.592 USDT   (46.83%) | -5,795.56910 |
|        |  715/2000 |      151 |     99    0   52 |        1.43% |      4313.987 USDT  (107.85%) |        4:19:00 |       946.376 USDT   (47.27%) | -4,313.98673 |
|        |  716/2000 |      264 |    153    0  111 |        1.11% |      5858.235 USDT  (146.46%) |        4:21:00 |      1016.077 USDT   (50.75%) | -5,858.23451 |
|        |  717/2000 |      265 |    149    0  116 |        1.01% |      5370.318 USDT  (134.26%) |        4:26:00 |      1063.571 USDT   (53.13%) | -5,370.31801 |
|        |  718/2000 |      603 |    396    0  207 |       -0.13% |     -1560.959 USDT  (-39.02%) |        4:55:00 |      2749.054 USDT  (137.32%) |  1,560.95903 |
|        |  719/2000 |      560 |    350    0  210 |       -0.18% |     -2043.737 USDT  (-51.09%) |        5:01:00 |      3347.680 USDT  (167.22%) |  2,043.73746 |
|        |  720/2000 |      383 |    170    0  213 |       -0.10% |      -791.642 USDT  (-19.79%) |        7:48:00 |      2377.154 USDT  (118.74%) |    791.64235 |
|        |  721/2000 |      195 |    119    0   76 |        1.39% |      5420.859 USDT  (135.52%) |        5:06:00 |       803.542 USDT   (40.14%) | -5,420.85937 |
|        |  722/2000 |      242 |    150    0   92 |        1.27% |      6151.521 USDT  (153.79%) |        4:33:00 |       797.989 USDT   (39.86%) | -6,151.52130 |
|        |  723/2000 |      384 |    230    0  154 |        0.57% |      4369.695 USDT  (109.24%) |        5:03:00 |      1376.754 USDT   (68.77%) | -4,369.69458 |
|        |  724/2000 |      343 |    192    0  151 |        0.60% |      4128.323 USDT  (103.21%) |        4:24:00 |       894.388 USDT   (44.67%) | -4,128.32301 |
|        |  725/2000 |      289 |    167    0  122 |        0.89% |      5176.704 USDT  (129.42%) |        5:21:00 |       889.474 USDT   (44.43%) | -5,176.70359 |
|        |  726/2000 |      168 |     99    0   69 |        0.70% |      2359.059 USDT   (58.98%) |        5:20:00 |      1027.905 USDT   (51.34%) | -2,359.05919 |
|        |  727/2000 |      147 |     97    0   50 |        1.79% |      5263.920 USDT  (131.60%) |        4:46:00 |       793.635 USDT   (39.64%) | -5,263.92021 |
|        |  728/2000 |      260 |    153    0  107 |        1.02% |      5287.552 USDT  (132.19%) |        3:48:00 |      1136.649 USDT   (56.78%) | -5,287.55197 |
|        |  729/2000 |      229 |    141    0   88 |        1.18% |      5429.818 USDT  (135.75%) |        4:05:00 |       793.106 USDT   (39.62%) | -5,429.81812 |
|        |  730/2000 |      146 |     91    0   55 |        1.56% |      4550.260 USDT  (113.76%) |        4:54:00 |       871.863 USDT   (43.55%) | -4,550.26002 |
