+--------+-----------+----------+------------------+--------------+-------------------------------+----------------+-------------------------------+--------------+
|   Best |     Epoch |   Trades |    Win Draw Loss |   Avg profit |                        Profit |   Avg duration |                  Max Drawdown |    Objective |
|        |   38/2000 |      236 |    140    0   96 |        0.88% |      4175.023 USDT  (104.38%) |        3:47:00 |       587.422 USDT   (29.34%) | -4,175.02299 |
|        |   39/2000 |      219 |    131    0   88 |        1.19% |      5236.792 USDT  (130.92%) |        4:19:00 |       921.747 USDT   (46.04%) | -5,236.79168 |
|        |   40/2000 |      249 |    149    0  100 |        1.00% |      4996.960 USDT  (124.92%) |        5:15:00 |       926.460 USDT   (46.28%) | -4,996.95989 |
|        |   41/2000 |      216 |    122    0   94 |        0.39% |      1703.786 USDT   (42.59%) |        6:24:00 |      1468.175 USDT   (73.34%) | -1,703.78641 |
|        |   42/2000 |      238 |    140    0   98 |        0.99% |      4695.973 USDT  (117.40%) |        6:09:00 |       813.030 USDT   (40.61%) | -4,695.97256 |
|        |   43/2000 |      243 |    142    0  101 |        1.20% |      5860.442 USDT  (146.51%) |        4:12:00 |      1013.880 USDT   (50.64%) | -5,860.44248 |
|        |   44/2000 |      231 |    136    0   95 |       -0.44% |     -2036.166 USDT  (-50.90%) |        5:13:00 |      2709.303 USDT  (135.33%) |  2,036.16567 |
|        |   45/2000 |      203 |    123    0   80 |        1.13% |      4588.085 USDT  (114.70%) |        4:39:00 |      1215.106 USDT   (60.69%) | -4,588.08475 |
|        |   46/2000 |      139 |     89    0   50 |        1.78% |      4962.611 USDT  (124.07%) |        5:22:00 |       566.099 USDT   (28.28%) | -4,962.61103 |
|        |   47/2000 |      202 |    115    0   87 |        0.98% |      3981.379 USDT   (99.53%) |        4:19:00 |      1279.523 USDT   (63.91%) | -3,981.37922 |
|        |   48/2000 |      241 |    139    0  102 |        0.81% |      3922.149 USDT   (98.05%) |        3:52:00 |      1234.869 USDT   (61.68%) | -3,922.14897 |
|        |   49/2000 |      347 |    191    0  156 |        0.71% |      4922.857 USDT  (123.07%) |        4:16:00 |       897.681 USDT   (44.84%) | -4,922.85661 |
|        |   50/2000 |      416 |    221    0  195 |        0.48% |      3987.452 USDT   (99.69%) |        4:38:00 |       850.265 USDT   (42.47%) | -3,987.45192 |
|        |   51/2000 |      313 |    180    0  133 |        0.81% |      5051.662 USDT  (126.29%) |        5:00:00 |       745.841 USDT   (37.25%) | -5,051.66166 |
|        |   52/2000 |      357 |    164    0  193 |       -0.12% |      -822.115 USDT  (-20.55%) |        8:08:00 |      2627.013 USDT  (131.22%) |    822.11461 |
|        |   53/2000 |      237 |    137    0  100 |        0.53% |      2499.293 USDT   (62.48%) |        3:32:00 |       810.326 USDT   (40.48%) | -2,499.29268 |
|        |   54/2000 |      325 |    143    0  182 |       -0.19% |     -1238.053 USDT  (-30.95%) |        8:14:00 |      1954.079 USDT   (97.61%) |  1,238.05331 |
|        |   55/2000 |      195 |    118    0   77 |        1.00% |      3890.076 USDT   (97.25%) |        5:04:00 |       820.601 USDT   (40.99%) | -3,890.07561 |
|        |   56/2000 |      191 |    107    0   84 |        0.27% |      1018.716 USDT   (25.47%) |        6:23:00 |       849.865 USDT   (42.45%) | -1,018.71589 |
|        |   57/2000 |      139 |     77    0   62 |        0.25% |       693.553 USDT   (17.34%) |        7:12:00 |      1203.365 USDT   (60.11%) |   -693.55317 |
|        |   58/2000 |      182 |    111    0   71 |        1.25% |      4552.655 USDT  (113.82%) |        5:01:00 |       997.020 USDT   (49.80%) | -4,552.65499 |
|        |   59/2000 |      139 |     86    0   53 |        0.77% |      2154.418 USDT   (53.86%) |        5:29:00 |       745.032 USDT   (37.21%) | -2,154.41799 |
|        |   60/2000 |      161 |    113    0   48 |        0.89% |      2884.631 USDT   (72.12%) |        3:45:00 |       998.966 USDT   (49.90%) | -2,884.63063 |
|        |   61/2000 |      262 |    155    0  107 |        1.16% |      6060.669 USDT  (151.52%) |        4:04:00 |      1007.356 USDT   (50.32%) | -6,060.66935 |
|        |   62/2000 |      257 |    152    0  105 |        1.19% |      6147.596 USDT  (153.69%) |        4:10:00 |      1013.297 USDT   (50.61%) | -6,147.59579 |
|        |   63/2000 |      243 |    148    0   95 |        1.02% |      4952.896 USDT  (123.82%) |        4:03:00 |       719.677 USDT   (35.95%) | -4,952.89615 |
|        |   64/2000 |      224 |    131    0   93 |        1.04% |      4653.859 USDT  (116.35%) |        4:02:00 |       984.157 USDT   (49.16%) | -4,653.85872 |
|        |   65/2000 |      244 |    145    0   99 |        0.73% |      3573.463 USDT   (89.34%) |        4:28:00 |       906.035 USDT   (45.26%) | -3,573.46333 |
|        |   66/2000 |      259 |    153    0  106 |        1.09% |      5636.666 USDT  (140.92%) |        4:00:00 |      1006.647 USDT   (50.28%) | -5,636.66611 |
|        |   67/2000 |      274 |    162    0  112 |        0.96% |      5261.167 USDT  (131.53%) |        4:27:00 |      1155.677 USDT   (57.73%) | -5,261.16730 |
|        |   68/2000 |      172 |    111    0   61 |        1.59% |      5491.919 USDT  (137.30%) |        5:25:00 |       600.509 USDT   (30.00%) | -5,491.91863 |
|        |   69/2000 |      214 |    131    0   83 |        1.40% |      5979.632 USDT  (149.49%) |        4:18:00 |       725.216 USDT   (36.22%) | -5,979.63186 |
|        |   70/2000 |      316 |    133    0  183 |       -0.19% |     -1231.186 USDT  (-30.78%) |        7:50:00 |      1894.668 USDT   (94.64%) |  1,231.18602 |
|        |   71/2000 |      215 |     92    0  123 |       -0.46% |     -1991.430 USDT  (-49.79%) |        7:37:00 |      2577.397 USDT  (128.74%) |  1,991.42959 |
|        |   72/2000 |      193 |    115    0   78 |       -0.53% |     -2060.179 USDT  (-51.50%) |        5:44:00 |      2208.245 USDT  (110.30%) |  2,060.17938 |
|        |   73/2000 |      164 |    103    0   61 |        1.64% |      5389.703 USDT  (134.74%) |        4:41:00 |       864.532 USDT   (43.18%) | -5,389.70321 |
|        |   74/2000 |      416 |    214    0  202 |        0.41% |      3443.223 USDT   (86.08%) |        3:20:00 |      1257.811 USDT   (62.83%) | -3,443.22330 |
|        |   75/2000 |      301 |    174    0  127 |        0.88% |      5293.221 USDT  (132.33%) |        4:15:00 |       985.352 USDT   (49.22%) | -5,293.22110 |
|        |   76/2000 |      126 |     86    0   40 |        1.68% |      4233.418 USDT  (105.84%) |        4:48:00 |       885.100 USDT   (44.21%) | -4,233.41807 |
|        |   77/2000 |      186 |    107    0   79 |        1.07% |      3972.859 USDT   (99.32%) |        5:19:00 |      1373.203 USDT   (68.59%) | -3,972.85885 |
|        |   78/2000 |      162 |     99    0   63 |        1.10% |      3569.762 USDT   (89.24%) |        4:29:00 |       994.536 USDT   (49.68%) | -3,569.76160 |
|        |   79/2000 |      220 |    129    0   91 |        0.71% |      3133.680 USDT   (78.34%) |        4:43:00 |      1005.156 USDT   (50.21%) | -3,133.67992 |
|        |   80/2000 |      226 |    127    0   99 |        0.52% |      2361.492 USDT   (59.04%) |        5:41:00 |      1367.682 USDT   (68.32%) | -2,361.49181 |
|        |   81/2000 |      301 |    175    0  126 |        0.60% |      3642.543 USDT   (91.06%) |        4:25:00 |       966.129 USDT   (48.26%) | -3,642.54253 |
|        |   82/2000 |      516 |    232    0  284 |       -0.02% |      -219.425 USDT   (-5.49%) |        8:14:00 |      1586.432 USDT   (79.24%) |    219.42491 |
|        |   83/2000 |      318 |    137    0  181 |       -0.28% |     -1754.971 USDT  (-43.87%) |        8:49:00 |      2402.940 USDT  (120.03%) |  1,754.97083 |
|        |   84/2000 |      296 |    121    0  175 |       -0.34% |     -2008.749 USDT  (-50.22%) |        8:47:00 |      3296.735 USDT  (164.67%) |  2,008.74892 |
|        |   85/2000 |      187 |    124    0   63 |        1.48% |      5536.813 USDT  (138.42%) |        4:31:00 |       786.937 USDT   (39.31%) | -5,536.81253 |
|        |   86/2000 |      188 |    117    0   71 |        1.30% |      4905.675 USDT  (122.64%) |        4:28:00 |       801.215 USDT   (40.02%) | -4,905.67539 |
|        |   87/2000 |      174 |    114    0   60 |        1.59% |      5526.129 USDT  (138.15%) |        4:20:00 |       800.893 USDT   (40.00%) | -5,526.12950 |
|        |   88/2000 |      253 |    150    0  103 |        1.23% |      6216.601 USDT  (155.42%) |        4:17:00 |      1013.297 USDT   (50.61%) | -6,216.60079 |
|        |   89/2000 |      204 |    122    0   82 |        1.10% |      4488.497 USDT  (112.21%) |        3:47:00 |       887.188 USDT   (44.32%) | -4,488.49743 |
|        |   90/2000 |      194 |    118    0   76 |        1.15% |      4453.572 USDT  (111.34%) |        3:57:00 |       843.339 USDT   (42.12%) | -4,453.57192 |
|        |   91/2000 |      230 |    137    0   93 |        1.27% |      5849.831 USDT  (146.25%) |        4:09:00 |      1007.940 USDT   (50.35%) | -5,849.83105 |
|        |   92/2000 |      251 |    147    0  104 |        0.97% |      4880.082 USDT  (122.00%) |        4:03:00 |      1033.052 USDT   (51.60%) | -4,880.08160 |
|        |   93/2000 |      212 |    128    0   84 |        1.40% |      5942.656 USDT  (148.57%) |        4:24:00 |      1007.940 USDT   (50.35%) | -5,942.65594 |
|        |   94/2000 |      178 |    115    0   63 |        1.52% |      5431.709 USDT  (135.79%) |        4:21:00 |       798.274 USDT   (39.87%) | -5,431.70911 |
|        |   95/2000 |      241 |    140    0  101 |        1.01% |      4871.013 USDT  (121.78%) |        4:33:00 |      1041.190 USDT   (52.01%) | -4,871.01323 |
|        |   96/2000 |      240 |    150    0   90 |        0.99% |      4767.880 USDT  (119.20%) |        5:03:00 |       316.057 USDT   (15.79%) | -4,767.87998 |
|        |   97/2000 |      229 |    142    0   87 |        1.30% |      5967.547 USDT  (149.19%) |        4:20:00 |      1007.940 USDT   (50.35%) | -5,967.54742 |
|        |   98/2000 |      180 |    113    0   67 |        1.52% |      5482.372 USDT  (137.06%) |        4:27:00 |       909.462 USDT   (45.43%) | -5,482.37176 |
|        |   99/2000 |      187 |    115    0   72 |        1.20% |      4474.810 USDT  (111.87%) |        3:59:00 |       899.497 USDT   (44.93%) | -4,474.80975 |
|        |  100/2000 |      299 |    163    0  136 |        0.84% |      5034.417 USDT  (125.86%) |        4:01:00 |       843.876 USDT   (42.15%) | -5,034.41660 |
|        |  101/2000 |      219 |    128    0   91 |        1.11% |      4883.645 USDT  (122.09%) |        3:51:00 |       843.339 USDT   (42.12%) | -4,883.64531 |
|        |  102/2000 |      360 |    186    0  174 |        0.55% |      3971.147 USDT   (99.28%) |        3:35:00 |      1079.285 USDT   (53.91%) | -3,971.14732 |
|        |  103/2000 |      251 |    152    0   99 |        1.14% |      5739.567 USDT  (143.49%) |        4:09:00 |       776.790 USDT   (38.80%) | -5,739.56693 |
|        |  104/2000 |      219 |    131    0   88 |        1.35% |      5900.883 USDT  (147.52%) |        4:23:00 |      1007.940 USDT   (50.35%) | -5,900.88306 |
|        |  105/2000 |      212 |    137    0   75 |        1.51% |      6428.359 USDT  (160.71%) |        4:30:00 |       778.346 USDT   (38.88%) | -6,428.35876 |
|        |  106/2000 |      233 |    136    0   97 |        1.19% |      5532.171 USDT  (138.30%) |        4:18:00 |      1013.880 USDT   (50.64%) | -5,532.17079 |
|        |  107/2000 |      204 |    127    0   77 |        1.34% |      5488.137 USDT  (137.20%) |        4:27:00 |      1007.940 USDT   (50.35%) | -5,488.13672 |
|        |  108/2000 |      263 |    157    0  106 |        1.04% |      5501.923 USDT  (137.55%) |        4:32:00 |      1035.250 USDT   (51.71%) | -5,501.92318 |
|        |  109/2000 |      241 |    146    0   95 |        1.22% |      5901.186 USDT  (147.53%) |        4:14:00 |      1013.880 USDT   (50.64%) | -5,901.18637 |
|        |  110/2000 |      265 |    156    0  109 |        1.13% |      6021.084 USDT  (150.53%) |        4:01:00 |      1007.356 USDT   (50.32%) | -6,021.08396 |
|        |  111/2000 |      199 |    127    0   72 |        1.13% |      4487.861 USDT  (112.20%) |        3:49:00 |       574.012 USDT   (28.67%) | -4,487.86111 |
|        |  112/2000 |      243 |    142    0  101 |        0.91% |      4406.914 USDT  (110.17%) |        3:56:00 |      1293.413 USDT   (64.61%) | -4,406.91367 |
|        |  113/2000 |      218 |    130    0   88 |        1.29% |      5618.888 USDT  (140.47%) |        4:21:00 |      1007.940 USDT   (50.35%) | -5,618.88808 |
|        |  114/2000 |      278 |    161    0  117 |        0.97% |      5377.810 USDT  (134.45%) |        3:59:00 |       894.759 USDT   (44.69%) | -5,377.80978 |
|        |  115/2000 |      221 |    137    0   84 |        1.39% |      6130.622 USDT  (153.27%) |        4:25:00 |       831.476 USDT   (41.53%) | -6,130.62233 |
|        |  116/2000 |      157 |    103    0   54 |        1.56% |      4892.748 USDT  (122.32%) |        4:39:00 |       800.893 USDT   (40.00%) | -4,892.74849 |
|        |  117/2000 |      277 |    157    0  120 |        0.91% |      5033.315 USDT  (125.83%) |        4:04:00 |      1033.761 USDT   (51.64%) | -5,033.31484 |
|        |  118/2000 |      304 |    138    0  166 |       -0.20% |     -1192.278 USDT  (-29.81%) |        8:07:00 |      1767.619 USDT   (88.29%) |  1,192.27767 |
|        |  119/2000 |      177 |    109    0   68 |        1.61% |      5720.398 USDT  (143.01%) |        5:07:00 |       830.159 USDT   (41.47%) | -5,720.39831 |
|        |  120/2000 |      263 |    154    0  109 |        1.16% |      6107.040 USDT  (152.68%) |        4:07:00 |      1013.297 USDT   (50.61%) | -6,107.04013 |
|        |  121/2000 |      234 |    134    0  100 |        1.23% |      5746.727 USDT  (143.67%) |        4:28:00 |       870.676 USDT   (43.49%) | -5,746.72657 |
|        |  122/2000 |      145 |    101    0   44 |        2.27% |      6599.660 USDT  (164.99%) |        5:29:00 |       786.937 USDT   (39.31%) | -6,599.66019 |
|        |  123/2000 |      234 |    135    0   99 |        1.19% |      5589.334 USDT  (139.73%) |        4:50:00 |       868.626 USDT   (43.39%) | -5,589.33402 |
|        |  124/2000 |      225 |    135    0   90 |        1.35% |      6097.692 USDT  (152.44%) |        4:43:00 |       901.283 USDT   (45.02%) | -6,097.69170 |
|        |  125/2000 |      267 |    157    0  110 |        1.12% |      5961.642 USDT  (149.04%) |        4:09:00 |      1007.356 USDT   (50.32%) | -5,961.64162 |
|        |  126/2000 |      188 |    118    0   70 |        1.06% |      3981.858 USDT   (99.55%) |        3:53:00 |       726.939 USDT   (36.31%) | -3,981.85800 |
|        |  127/2000 |      291 |    163    0  128 |        0.83% |      4808.424 USDT  (120.21%) |        4:08:00 |       806.142 USDT   (40.27%) | -4,808.42357 |
|        |  128/2000 |      218 |    133    0   85 |        1.30% |      5686.476 USDT  (142.16%) |        4:30:00 |      1149.066 USDT   (57.40%) | -5,686.47644 |
|        |  129/2000 |      259 |    150    0  109 |        1.03% |      5358.536 USDT  (133.96%) |        4:08:00 |      1149.066 USDT   (57.40%) | -5,358.53641 |
|        |  130/2000 |      202 |    123    0   79 |        1.37% |      5552.844 USDT  (138.82%) |        4:30:00 |      1007.940 USDT   (50.35%) | -5,552.84389 |
|        |  131/2000 |      230 |    136    0   94 |        1.28% |      5911.030 USDT  (147.78%) |        4:17:00 |      1013.880 USDT   (50.64%) | -5,911.03001 |
|        |  132/2000 |      230 |    138    0   92 |        1.34% |      6158.501 USDT  (153.96%) |        4:20:00 |       901.283 USDT   (45.02%) | -6,158.50130 |
|        |  133/2000 |      139 |     97    0   42 |        2.39% |      6637.651 USDT  (165.94%) |        5:37:00 |       429.829 USDT   (21.47%) | -6,637.65126 |
|        |  134/2000 |      184 |    113    0   71 |        1.49% |      5490.769 USDT  (137.27%) |        5:18:00 |       817.839 USDT   (40.85%) | -5,490.76923 |
|        |  135/2000 |      181 |    112    0   69 |        1.51% |      5481.788 USDT  (137.04%) |        5:18:00 |       852.635 USDT   (42.59%) | -5,481.78780 |
|        |  136/2000 |      217 |    126    0   91 |        1.19% |      5167.818 USDT  (129.20%) |        4:50:00 |       901.283 USDT   (45.02%) | -5,167.81846 |
|        |  137/2000 |      222 |    135    0   87 |        1.23% |      5470.436 USDT  (136.76%) |        4:13:00 |      1044.057 USDT   (52.15%) | -5,470.43579 |
|        |  138/2000 |      229 |    131    0   98 |        1.17% |      5372.230 USDT  (134.31%) |        4:35:00 |      1061.664 USDT   (53.03%) | -5,372.22986 |
|        |  139/2000 |      191 |    122    0   69 |        1.48% |      5646.032 USDT  (141.15%) |        4:42:00 |       656.368 USDT   (32.79%) | -5,646.03243 |
|        |  140/2000 |      255 |    148    0  107 |        1.13% |      5768.295 USDT  (144.21%) |        4:12:00 |      1013.297 USDT   (50.61%) | -5,768.29538 |
|        |  141/2000 |      173 |    106    0   67 |        1.44% |      4979.919 USDT  (124.50%) |        5:28:00 |       829.799 USDT   (41.45%) | -4,979.91931 |
|        |  142/2000 |      283 |    161    0  122 |        1.02% |      5778.634 USDT  (144.47%) |        4:16:00 |      1013.297 USDT   (50.61%) | -5,778.63400 |
|        |  143/2000 |      168 |    106    0   62 |        1.66% |      5567.227 USDT  (139.18%) |        5:01:00 |       824.218 USDT   (41.17%) | -5,567.22651 |
|        |  144/2000 |      176 |    113    0   63 |        1.67% |      5870.000 USDT  (146.75%) |        4:52:00 |       830.159 USDT   (41.47%) | -5,870.00005 |
|        |  145/2000 |      166 |    103    0   63 |        1.56% |      5187.138 USDT  (129.68%) |        5:05:00 |       855.795 USDT   (42.75%) | -5,187.13786 |
|        |  146/2000 |      200 |    128    0   72 |        1.48% |      5939.933 USDT  (148.50%) |        4:24:00 |       830.159 USDT   (41.47%) | -5,939.93345 |
|        |  147/2000 |      266 |    150    0  116 |        1.06% |      5641.107 USDT  (141.03%) |        4:31:00 |       854.343 USDT   (42.67%) | -5,641.10691 |
|        |  148/2000 |      290 |    169    0  121 |        1.03% |      6006.239 USDT  (150.16%) |        4:14:00 |      1069.333 USDT   (53.41%) | -6,006.23854 |
|        |  149/2000 |      158 |    112    0   46 |        1.84% |      5806.262 USDT  (145.16%) |        4:22:00 |       271.048 USDT   (13.54%) | -5,806.26242 |
|        |  150/2000 |      225 |    134    0   91 |        1.27% |      5710.799 USDT  (142.77%) |        4:23:00 |      1007.940 USDT   (50.35%) | -5,710.79864 |
|        |  151/2000 |      171 |    110    0   61 |        1.73% |      5935.099 USDT  (148.38%) |        4:57:00 |       901.596 USDT   (45.03%) | -5,935.09900 |
|        |  152/2000 |      182 |    113    0   69 |        1.46% |      5310.996 USDT  (132.77%) |        5:01:00 |       809.313 USDT   (40.43%) | -5,310.99598 |
|        |  153/2000 |      181 |    114    0   67 |        1.71% |      6199.704 USDT  (154.99%) |        5:10:00 |       817.839 USDT   (40.85%) | -6,199.70394 |
|        |  154/2000 |      482 |    308    0  174 |        0.18% |      1747.708 USDT   (43.69%) |        4:18:00 |      2732.255 USDT  (136.48%) | -1,747.70773 |
|        |  155/2000 |      257 |    153    0  104 |        1.06% |      5450.724 USDT  (136.27%) |        4:17:00 |      1058.030 USDT   (52.85%) | -5,450.72411 |
|        |  156/2000 |      204 |    130    0   74 |        1.45% |      5908.589 USDT  (147.71%) |        4:33:00 |       767.055 USDT   (38.31%) | -5,908.58903 |
|        |  157/2000 |      166 |    103    0   63 |        1.16% |      3856.501 USDT   (96.41%) |        5:18:00 |       897.599 USDT   (44.84%) | -3,856.50067 |
|        |  158/2000 |      207 |    126    0   81 |        1.46% |      6054.969 USDT  (151.37%) |        4:30:00 |      1013.880 USDT   (50.64%) | -6,054.96884 |
|        |  159/2000 |      225 |    135    0   90 |        1.32% |      5936.890 USDT  (148.42%) |        4:31:00 |       925.288 USDT   (46.22%) | -5,936.89006 |
|        |  160/2000 |      276 |    163    0  113 |        1.19% |      6575.748 USDT  (164.39%) |        4:14:00 |       943.964 USDT   (47.15%) | -6,575.74765 |
|        |  161/2000 |      152 |     62    0   90 |       -0.65% |     -1981.353 USDT  (-49.53%) |        8:31:00 |      2403.030 USDT  (120.03%) |  1,981.35302 |
|        |  162/2000 |      189 |     70    0  119 |       -0.55% |     -2063.038 USDT  (-51.58%) |        8:29:00 |      2209.436 USDT  (110.36%) |  2,063.03820 |
|        |  163/2000 |      164 |    106    0   58 |        1.84% |      6045.071 USDT  (151.13%) |        5:01:00 |       824.218 USDT   (41.17%) | -6,045.07140 |
|        |  164/2000 |      282 |    167    0  115 |        1.04% |      5891.106 USDT  (147.28%) |        4:11:00 |       837.547 USDT   (41.84%) | -5,891.10620 |
|        |  165/2000 |      263 |    153    0  110 |        1.04% |      5474.441 USDT  (136.86%) |        4:10:00 |       894.759 USDT   (44.69%) | -5,474.44099 |
